model,n,base_rate,AUC,AP,n@0.55,win@0.55,n@0.60,win@0.60,n@0.65,win@0.65,n@0.70,win@0.70
p_xgb,206165,0.313021,0.549335,0.378366,1436,0.614903,702,0.652422,327,0.681957,162,0.716049
p_lstm,206165,0.313021,0.536004,0.34334,1702,0.371328,765,0.380392,243,0.506173,61,0.754098
p_cnn,206165,0.313021,0.52634,0.332043,64412,0.336319,53551,0.337454,43413,0.339829,34075,0.343536
p_xl,206165,0.313021,0.550138,0.369922,321,0.750779,81,0.839506,5,1.0,0,
p_xc,206165,0.313021,0.537383,0.348821,23189,0.368709,10991,0.396779,3422,0.487142,886,0.612867
p_lc,206165,0.313021,0.533566,0.338978,23658,0.359751,11804,0.372924,4033,0.395735,992,0.410282
p_avg,206165,0.313021,0.542205,0.352415,5353,0.460676,1425,0.538947,270,0.692593,58,0.827586
p_avg_rank,206165,0.313021,0.570764,0.376443,85938,0.364507,69044,0.374022,53240,0.386627,39085,0.398823
p_w_33xgb_33lstm_33cnn,206165,0.313021,0.542205,0.352415,5353,0.460676,1425,0.538947,270,0.692593,58,0.827586
p_w_50xgb_25lstm_25cnn,206165,0.313021,0.547132,0.361845,2161,0.565016,547,0.670932,203,0.714286,62,0.790323
p_w_25xgb_50lstm_25cnn,206165,0.313021,0.544266,0.353285,2371,0.471531,515,0.549515,88,0.727273,9,1.0
p_w_25xgb_25lstm_50cnn,206165,0.313021,0.53598,0.344447,23225,0.362928,11151,0.38723,3492,0.445304,669,0.54858
p_w_40xgb_40lstm_20cnn,206165,0.313021,0.548304,0.361817,1224,0.571895,274,0.740876,70,0.842857,7,0.857143
p_w_40xgb_20lstm_40cnn,206165,0.313021,0.540236,0.351125,11070,0.404878,3334,0.493101,743,0.605653,206,0.713592
p_w_20xgb_40lstm_40cnn,206165,0.313021,0.538458,0.346115,11589,0.394598,3588,0.448439,822,0.495134,111,0.630631
p_w_50xgb_30lstm_20cnn,206165,0.313021,0.549313,0.365305,1250,0.6152,357,0.689076,126,0.746032,23,0.73913
p_w_50xgb_20lstm_30cnn,206165,0.313021,0.544891,0.358573,3655,0.513543,965,0.636269,309,0.673139,120,0.716667
p_w_30xgb_50lstm_20cnn,206165,0.313021,0.546814,0.357608,1327,0.510927,286,0.646853,42,0.904762,2,1.0
p_w_20xgb_50lstm_30cnn,206165,0.313021,0.541744,0.349468,4054,0.449433,1099,0.476797,200,0.595,23,0.956522
p_w_30xgb_20lstm_50cnn,206165,0.313021,0.536343,0.345482,23132,0.364214,11043,0.3883,3455,0.453835,667,0.571214
p_w_20xgb_30lstm_50cnn,206165,0.313021,0.535578,0.343315,23267,0.36266,11226,0.384554,3573,0.436888,687,0.526929
